entity,label,context,source_url,source_title
hypertension,DISEASE,"It has been demonstrated that patients with diabetes are more likely to experience respiratory, urinary tract, and skin infections, develop atherosclerosis, hypertension, and chronic kidney disease, putting them at increased risk of infection and complications that require medical attention.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
COVID-19,DISEASE,"Patients with diabetes mellitus are more likely to experience certain infections, such as COVID-19, with prevalence rates ranging from 5.3 to 35.5%.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Management,ORG,"Management  Diabetes management concentrates on keeping blood sugar levels close to normal, without causing low blood sugar.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
high blood pressure,DISEASE,"These include smoking, high blood pressure, metabolic syndrome, obesity, and lack of regular exercise.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
annually,DATE,"Foot examination for patients living with diabetes should be done annually which includes sensation testing, foot biomechanics, vascular integrity and foot structure.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
"Lifestyle

People",ORG,"Lifestyle  People with diabetes can benefit from education about the disease and treatment, dietary changes, and exercise, with the goal of keeping both short-term and long-term blood glucose levels within acceptable bounds.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
10 years old,DATE,Screening for type 2 diabetes typically starts at 10 years old for obese children and those who have at least two risk factors.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
daily,DATE,"Lifestyle changes include daily exercise for at least 60 minutes, reduced screen time, and dietary education.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
endocrinologist,MEDICAL_SPECIALTY,"A health care team may include a pediatric endocrinologist or physician trained in pediatric diabetes, a diabetes specialist nurse, a registered dietitian, a psychologist, a social worker, and child life specialist.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
"Medications


Glucose",ORG,Medications   Glucose control  Most medications used to treat diabetes act by lowering blood sugar levels through different mechanisms.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
GLP-1,ORG,Type 2 diabetes is generally treated with medication that is taken by mouth (e.g. metformin) although some eventually require injectable treatment with insulin or GLP-1 agonists.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
DPP-4,ORG,"These include agents that increase insulin release (sulfonylureas), agents that decrease absorption of sugar from the intestines (acarbose), agents that inhibit the enzyme dipeptidyl peptidase-4 (DPP-4) that inactivates incretins such as GLP-1 and GIP (sitagliptin), agents that make the body more se",https://en.wikipedia.org/wiki/Diabetes,Diabetes
GIP,ORG,"These include agents that increase insulin release (sulfonylureas), agents that decrease absorption of sugar from the intestines (acarbose), agents that inhibit the enzyme dipeptidyl peptidase-4 (DPP-4) that inactivates incretins such as GLP-1 and GIP (sitagliptin), agents that make the body more se",https://en.wikipedia.org/wiki/Diabetes,Diabetes
sitagliptin,MEDICATION,"These include agents that increase insulin release (sulfonylureas), agents that decrease absorption of sugar from the intestines (acarbose), agents that inhibit the enzyme dipeptidyl peptidase-4 (DPP-4) that inactivates incretins such as GLP-1 and GIP (sitagliptin), agents that make the body more se",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Blood,ORG,"Blood pressure lowering Cardiovascular disease is a serious complication associated with diabetes, and many international guidelines recommend blood pressure treatment targets that are lower than 140/90 mmHg for people with diabetes.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
albuminuria,ORG,"2015 American Diabetes Association recommendations are that people with diabetes and albuminuria should receive an inhibitor of the renin-angiotensin system to reduce the risks of progression to end-stage renal disease, cardiovascular events, and death.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Aspirin,MEDICATION,Aspirin The use of aspirin to prevent cardiovascular disease in diabetes is controversial.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
10-year,DATE,"2015 American Diabetes Association recommendations for aspirin use (based on expert consensus or clinical experience) are that low-dose aspirin use is reasonable in adults with diabetes who are at intermediate risk of cardiovascular disease (10-year cardiovascular disease risk, 5–10%).",https://en.wikipedia.org/wiki/Diabetes,Diabetes
England,GPE,National guidelines for England and Wales by the National Institute for Health and Care Excellence (NICE) recommend against the use of aspirin in people with type 1 or type 2 diabetes who do not have confirmed cardiovascular disease.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
Wales,GPE,National guidelines for England and Wales by the National Institute for Health and Care Excellence (NICE) recommend against the use of aspirin in people with type 1 or type 2 diabetes who do not have confirmed cardiovascular disease.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
the National Institute for Health and Care Excellence,ORG,National guidelines for England and Wales by the National Institute for Health and Care Excellence (NICE) recommend against the use of aspirin in people with type 1 or type 2 diabetes who do not have confirmed cardiovascular disease.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
Surgery,MEDICAL_SPECIALTY,Surgery Weight loss surgery in those with obesity and type 2 diabetes is often an effective measure.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
surgery,TREATMENT,Surgery Weight loss surgery in those with obesity and type 2 diabetes is often an effective measure.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
DPN,ORG,Diabetic peripheral neuropathy (DPN) affects 30% of all diabetes patients.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
the United Kingdom,GPE,"Self-management and support In countries using a general practitioner system, such as the United Kingdom, care may take place mainly outside hospitals, with hospital-based specialist care used only in case of complications, difficult blood sugar control, or research projects.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
depression,DISEASE,"There is no adequate evidence to support effects on cholesterol, blood pressure, behavioral change (such as physical activity levels and dietary), depression, weight and health-related quality of life, nor in other biological, cognitive or emotional outcomes.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Epidemiology,ORG,Epidemiology  An estimated 382 million people worldwide had diabetes in 2013 up from 108 million in 1980.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
high blood pressure,SYMPTOM,"Some data indicate rates are roughly equal in women and men, but male excess in diabetes has been found in many populations with higher type 2 incidence, possibly due to sex-related differences in insulin sensitivity, consequences of obesity and regional body fat deposition, and other contributing f",https://en.wikipedia.org/wiki/Diabetes,Diabetes
kidney failure,DISEASE,"However, another 2.2 million deaths worldwide were attributable to high blood glucose and the increased risks of cardiovascular disease and other associated complications (e.g. kidney failure), which often lead to premature death and are often listed as the underlying cause on death certificates rat",https://en.wikipedia.org/wiki/Diabetes,Diabetes
the International,ORG,"For example, in 2017, the International Diabetes Federation (IDF) estimated that diabetes resulted in 4.0 million deaths worldwide, using modeling to estimate the total number of deaths that could be directly or indirectly attributed to diabetes.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
between 2017 and 2045,DATE,The global number of diabetes cases might increase by 48% between 2017 and 2045.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
US,GPE,"As of 2020, 38% of all US adults had prediabetes.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
BCE,ORG,"History  Diabetes was one of the first diseases described, with an Egyptian manuscript from c. 1500 BCE mentioning ""too great emptying of the urine.""",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Ebers,ORG,The Ebers papyrus includes a recommendation for a drink to take in such cases.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
the Greek Apollonius of Memphis,ORG,"The term ""diabetes"" or ""to pass through"" was first used in 230 BCE by the Greek Apollonius of Memphis.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
the Roman Empire,GPE,"The disease was considered rare during the time of the Roman Empire, with Galen commenting he had only seen two cases during his career.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Galen,PERSON,"The disease was considered rare during the time of the Roman Empire, with Galen commenting he had only seen two cases during his career.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
the sixth century,DATE,"Indian physicians around the sixth century CE identified the disease and classified it as madhumeha or ""honey urine"", noting the urine would attract ants.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Aretaeus,PERSON,The earliest surviving work with a detailed reference to diabetes is that of Aretaeus of Cappadocia (2nd or early 3rd century CE).,https://en.wikipedia.org/wiki/Diabetes,Diabetes
Cappadocia,PERSON,The earliest surviving work with a detailed reference to diabetes is that of Aretaeus of Cappadocia (2nd or early 3rd century CE).,https://en.wikipedia.org/wiki/Diabetes,Diabetes
2nd or early 3rd century,DATE,The earliest surviving work with a detailed reference to diabetes is that of Aretaeus of Cappadocia (2nd or early 3rd century CE).,https://en.wikipedia.org/wiki/Diabetes,Diabetes
"the ""Pneumatic School",ORG,"He described the symptoms and the course of the disease, which he attributed to the moisture and coldness, reflecting the beliefs of the ""Pneumatic School"".",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Venice,GPE,"His work remained unknown in the West until 1552, when the first Latin edition was published in Venice.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Sushruta,ORG,Two types of diabetes were identified as separate conditions for the first time by the Indian physicians Sushruta and Charaka in 400–500 CE with one type being associated with youth and another type with being overweight.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
Charaka,PERSON,Two types of diabetes were identified as separate conditions for the first time by the Indian physicians Sushruta and Charaka in 400–500 CE with one type being associated with youth and another type with being overweight.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
CE,GPE,Two types of diabetes were identified as separate conditions for the first time by the Indian physicians Sushruta and Charaka in 400–500 CE with one type being associated with youth and another type with being overweight.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
the 20th century,DATE,Effective treatment was not developed until the early part of the 20th century when Canadians Frederick Banting and Charles Best isolated and purified insulin in 1921 and 1922.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
Frederick Banting,PERSON,Effective treatment was not developed until the early part of the 20th century when Canadians Frederick Banting and Charles Best isolated and purified insulin in 1921 and 1922.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
Charles Best,PERSON,Effective treatment was not developed until the early part of the 20th century when Canadians Frederick Banting and Charles Best isolated and purified insulin in 1921 and 1922.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
NPH,ORG,This was followed by the development of the long-acting insulin NPH in the 1940s.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
the 1940s,DATE,This was followed by the development of the long-acting insulin NPH in the 1940s.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
Ancient Greek,ORG,"Etymology The word diabetes ( or ) comes from Latin diabētēs, which in turn comes from Ancient Greek διαβήτης (diabētēs), which literally means ""a passer through; a siphon"".",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Ancient Greek,PERSON,"Ancient Greek physician Aretaeus of Cappadocia (fl. 2nd century CE) used that word, with the intended meaning ""excessive discharge of urine"", as the name for the disease.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Aretaeus of Cappadocia,PERSON,"Ancient Greek physician Aretaeus of Cappadocia (fl. 2nd century CE) used that word, with the intended meaning ""excessive discharge of urine"", as the name for the disease.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
2nd century,DATE,"Ancient Greek physician Aretaeus of Cappadocia (fl. 2nd century CE) used that word, with the intended meaning ""excessive discharge of urine"", as the name for the disease.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
mell-,PERSON,"The Latin word comes from mell-, which comes from mel, meaning ""honey""; sweetness; pleasant thing, and the suffix -ītus, whose meaning is the same as that of the English suffix ""-ite"".",https://en.wikipedia.org/wiki/Diabetes,Diabetes
mel,GPE,"The Latin word comes from mell-, which comes from mel, meaning ""honey""; sweetness; pleasant thing, and the suffix -ītus, whose meaning is the same as that of the English suffix ""-ite"".",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Thomas Willis,PERSON,"It was Thomas Willis who in 1675 added ""mellitus"" to the word ""diabetes"" as a designation for the disease, when he noticed the urine of a person with diabetes had a sweet taste (glycosuria).",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Greeks,GPE,"This sweet taste had been noticed in urine by the ancient Greeks, Chinese, Egyptians, and Indians.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Hispanic/Latino,ORG,"While US adults overall have a 40% chance of developing type 2 diabetes, Hispanic/Latino adults chance is more than 50%.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
BMI,ORG,Asians have increased risk of diabetes as diabetes can develop at lower BMI due to differences in visceral fat compared to other races.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
numbness,SYMPTOM,People with diabetes who have neuropathic symptoms such as numbness or tingling in feet or hands are twice as likely to be unemployed as those without the symptoms.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
tingling,SYMPTOM,People with diabetes who have neuropathic symptoms such as numbness or tingling in feet or hands are twice as likely to be unemployed as those without the symptoms.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
ER,ORG,"In 2010, diabetes-related emergency room (ER) visit rates in the United States were higher among people from the lowest income communities (526 per 10,000 population) than from the highest income communities (236 per 10,000 population).",https://en.wikipedia.org/wiki/Diabetes,Diabetes
insipidus,PERSON,Diabetes insipidus is an unrelated disease with symptoms that can mimic diabetes mellitus.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
Russian Blue,PERSON,"The Burmese, Russian Blue, Abyssinian, and Norwegian Forest cat breeds are at higher risk than other breeds.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Norwegian Forest,ORG,"The Burmese, Russian Blue, Abyssinian, and Norwegian Forest cat breeds are at higher risk than other breeds.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
"References


External",ORG,See also Blood glucose monitoring Diabetes and deafness Diabetic foot Outline of diabetes   References   External links  American Diabetes Association IDF Diabetes Atlas National Diabetes Education Program ADA's Standards of Medical Care in Diabetes 2019 Polonsky KS (October 2012).,https://en.wikipedia.org/wiki/Diabetes,Diabetes
Standards of Medical Care in,ORG,See also Blood glucose monitoring Diabetes and deafness Diabetic foot Outline of diabetes   References   External links  American Diabetes Association IDF Diabetes Atlas National Diabetes Education Program ADA's Standards of Medical Care in Diabetes 2019 Polonsky KS (October 2012).,https://en.wikipedia.org/wiki/Diabetes,Diabetes
October 2012,DATE,See also Blood glucose monitoring Diabetes and deafness Diabetic foot Outline of diabetes   References   External links  American Diabetes Association IDF Diabetes Atlas National Diabetes Education Program ADA's Standards of Medical Care in Diabetes 2019 Polonsky KS (October 2012).,https://en.wikipedia.org/wiki/Diabetes,Diabetes
The past 200 years,DATE,"""The past 200 years in diabetes"".",https://en.wikipedia.org/wiki/Diabetes,Diabetes
The New England Journal of Medicine,ORG,The New England Journal of Medicine. 367 (14): 1332–1340. doi:10.1056/NEJMra1110560.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
1332–1340,DATE,The New England Journal of Medicine. 367 (14): 1332–1340. doi:10.1056/NEJMra1110560.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
doi:10.1056/NEJMra1110560,ORG,The New England Journal of Medicine. 367 (14): 1332–1340. doi:10.1056/NEJMra1110560.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
MedlinePlus,ORG,MedlinePlus.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
U.S. National Library of Medicine,ORG,U.S. National Library of Medicine.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
Agency,ORG,"The Agency for Healthcare Research and Quality (AHRQ; pronounced ""ark"" by initiates and often ""A-H-R-Q"" by the public) is one of twelve agencies within the U.S. Department of Health and Human Services (HHS).",https://en.wikipedia.org/wiki/Agency_for_Healthcare_Research_and_Quality,Agency for Healthcare Research and Quality
Healthcare Research and Quality,ORG,"The Agency for Healthcare Research and Quality (AHRQ; pronounced ""ark"" by initiates and often ""A-H-R-Q"" by the public) is one of twelve agencies within the U.S. Department of Health and Human Services (HHS).",https://en.wikipedia.org/wiki/Agency_for_Healthcare_Research_and_Quality,Agency for Healthcare Research and Quality
AHRQ,ORG,"The Agency for Healthcare Research and Quality (AHRQ; pronounced ""ark"" by initiates and often ""A-H-R-Q"" by the public) is one of twelve agencies within the U.S. Department of Health and Human Services (HHS).",https://en.wikipedia.org/wiki/Agency_for_Healthcare_Research_and_Quality,Agency for Healthcare Research and Quality
the U.S. Department of Health and Human Services,ORG,"The Agency for Healthcare Research and Quality (AHRQ; pronounced ""ark"" by initiates and often ""A-H-R-Q"" by the public) is one of twelve agencies within the U.S. Department of Health and Human Services (HHS).",https://en.wikipedia.org/wiki/Agency_for_Healthcare_Research_and_Quality,Agency for Healthcare Research and Quality
HHS,ORG,"The Agency for Healthcare Research and Quality (AHRQ; pronounced ""ark"" by initiates and often ""A-H-R-Q"" by the public) is one of twelve agencies within the U.S. Department of Health and Human Services (HHS).",https://en.wikipedia.org/wiki/Agency_for_Healthcare_Research_and_Quality,Agency for Healthcare Research and Quality
North Bethesda,GPE,"The agency is headquartered in North Bethesda, Maryland, a suburb of Washington, D.C. (with a Rockville mailing address).",https://en.wikipedia.org/wiki/Agency_for_Healthcare_Research_and_Quality,Agency for Healthcare Research and Quality
Maryland,GPE,"The agency is headquartered in North Bethesda, Maryland, a suburb of Washington, D.C. (with a Rockville mailing address).",https://en.wikipedia.org/wiki/Agency_for_Healthcare_Research_and_Quality,Agency for Healthcare Research and Quality
Washington,GPE,"The agency is headquartered in North Bethesda, Maryland, a suburb of Washington, D.C. (with a Rockville mailing address).",https://en.wikipedia.org/wiki/Agency_for_Healthcare_Research_and_Quality,Agency for Healthcare Research and Quality
